SourceRow;WorkerID;RawPrefix;PrefixASCII;TailN;OriginalFilename;CalculatedFilename;Result;OriginalLen;CalculatedLen;FirstDiffPos;OriginalAtDiff;CalculatedAtDiff;Block1;Block2;Tail
12;M100000101;31;31;2;001A0I0H0H0H0H0H0I0H0I0Y281G1F1G1F1G1F1G1F1G0--1A0I0L0I0H0I660Q0;001A0I0H0H0H0H0H0I0H0I0Y281G1F1G1F1G1F1G1F1G0--1A0I0L0I0H0I660Q0;OK;64;64;;;;001A0I0H0H0H0H0H0I0H0I;0Y281G1F1G1F1G1F1G1F1G;1A0I0L0I0H0I660Q0
13;VJ5SJ00101;131;31;5;001J170M1G170H0H0I0H0I0Y2H251K2E251F1G1H1F1G0--1J170M1G170C0I0H0I630E0;001J170M1G170H0H0I0H0I0Y2H251K2E251F1G1H1F1G0--1J170M1G170C0I0H0I630E0;OK;70;70;;;;001J170M1G170H0H0I0H0I;0Y2H251K2E251F1G1H1F1G;1J170M1G170C0I0H0I630E0
14;1E90000101;32;32;3;010I120Q0H0H0H0H0I0H0I101H211P1G1H1G1H1I1G1H0--0I120Q1Z0I0I0H6523;010I120Q0H0H0H0H0I0H0I101H211P1G1H1G1H1I1G1H0--0I120Q1Z0I0I0H6523;OK;65;65;;;;010I120Q0H0H0H0H0I0H0I;101H211P1G1H1G1H1I1G1H;0I120Q1Z0I0I0H6523
15;1L20000101;32;32;3;010I190J0H0H0H0H0I0H0I101H281I1G1H1G1H1I1G1H0--0I190J1Z0I0I0H6523;010I190J0H0H0H0H0I0H0I101H281I1G1H1G1H1I1G1H0--0I190J1Z0I0I0H6523;OK;65;65;;;;010I190J0H0H0H0H0I0H0I;101H281I1G1H1G1H1I1G1H;0I190J1Z0I0I0H6523
16;2H50000101;32;32;3;010J150M0H0H0H0H0I0H0I101I241L1G1H1G1H1I1G1H0--0J150M1Z0I0I0H6523;010J150M0H0H0H0H0I0H0I101I241L1G1H1G1H1I1G1H0--0J150M1Z0I0I0H6523;OK;65;65;;;;010J150M0H0H0H0H0I0H0I;101I241L1G1H1G1H1I1G1H;0J150M1Z0I0I0H6523
17;38D0000101;32;32;3;010K0P110H0H0H0H0I0H0I101J1O201G1H1G1H1I1G1H0--0K0P111Z0I0I0H6523;010K0P110H0H0H0H0I0H0I101J1O201G1H1G1H1I1G1H0--0K0P111Z0I0I0H6523;OK;65;65;;;;010K0P110H0H0H0H0I0H0I;101J1O201G1H1G1H1I1G1H;0K0P111Z0I0I0H6523
18;3F60000101;32;32;3;010K130N0H0H0H0H0I0H0I101J221M1G1H1G1H1I1G1H0--0K130N1Z0I0I0H6523;010K130N0H0H0H0H0I0H0I101J221M1G1H1G1H1I1G1H0--0K130N1Z0I0I0H6523;OK;65;65;;;;010K130N0H0H0H0H0I0H0I;101J221M1G1H1G1H1I1G1H;0K130N1Z0I0I0H6523
19;4J10000101;32;32;3;010L170I0H0H0H0H0I0H0I101K261H1G1H1G1H1I1G1H0--0L170I1Z0I0I0H6523;010L170I0H0H0H0H0I0H0I101K261H1G1H1G1H1I1G1H0--0L170I1Z0I0I0H6523;OK;65;65;;;;010L170I0H0H0H0H0I0H0I;101K261H1G1H1G1H1I1G1H;0L170I1Z0I0I0H6523
20;FBPQJ00101;132;32;5;01130Z1D1E170H0H0I0H0I10221Y2C2D261G1H1I1G1H0--130Z1D1E170D0I0I0H630F0;01130Z1D1E170H0H0I0H0I10221Y2C2D261G1H1I1G1H0--130Z1D1E170D0I0I0H630F0;OK;70;70;;;;01130Z1D1E170H0H0I0H0I;10221Y2C2D261G1H1I1G1H;130Z1D1E170D0I0I0H630F0
21;H700000101;32;32;2;01150O0H0H0H0H0H0I0H0I10241N1G1H1G1H1G1H1G1H0--150O0M0I0I0H660R0;01150O0H0H0H0H0H0I0H0I10241N1G1H1G1H1G1H1G1H0--150O0M0I0I0H660R0;OK;64;64;;;;01150O0H0H0H0H0H0I0H0I;10241N1G1H1G1H1G1H1G1H;150O0M0I0I0H660R0
22;IKJKJ00101;132;32;5;0116181718170H0H0I0H0I1025272627261G1H1I1G1H0--16181718170D0I0I0H630F0;0116181718170H0H0I0H0I1025272627261G1H1I1G1H0--16181718170D0I0I0H630F0;OK;70;70;;;;0116181718170H0H0I0H0I;1025272627261G1H1I1G1H;16181718170D0I0I0H630F0
23;N100000101;32;32;2;011B0I0H0H0H0H0H0I0H0I102A1H1G1H1G1H1G1H1G1H0--1B0I0M0I0I0H660R0;011B0I0H0H0H0H0H0I0H0I102A1H1G1H1G1H1G1H1G1H0--1B0I0M0I0I0H660R0;OK;64;64;;;;011B0I0H0H0H0H0H0I0H0I;102A1H1G1H1G1H1G1H1G1H;1B0I0M0I0I0H660R0
24;U5KTJ00101;132;32;5;011I0M181H170H0H0I0H0I102H1L272G261G1H1I1G1H0--1I0M181H170D0I0I0H630F0;011I0M181H170H0H0I0H0I102H1L272G261G1H1I1G1H0--1I0M181H170D0I0I0H630F0;OK;70;70;;;;011I0M181H170H0H0I0H0I;102H1L272G261G1H1I1G1H;1I0M181H170D0I0I0H630F0
25;YO0QJ00101;132;32;5;011M1C0H1E170H0H0I0H0I102L2B1G2D261G1H1I1G1H0--1M1C0H1E170D0I0I0H630F0;011M1C0H1E170H0H0I0H0I102L2B1G2D261G1H1I1G1H0--1M1C0H1E170D0I0I0H630F0;OK;70;70;;;;011M1C0H1E170H0H0I0H0I;102L2B1G2D261G1H1I1G1H;1M1C0H1E170D0I0I0H630F0
26;1G80000101;33;33;3;020I140P0H0H0H0H0I0H0I121I241P1H1I1H1I1J1H1I0--0I140P200I0H0I6524;020I140P0H0H0H0H0I0H0I121I241P1H1I1H1I1J1H1I0--0I140P200I0H0I6524;OK;65;65;;;;020I140P0H0H0H0H0I0H0I;121I241P1H1I1H1I1J1H1I;0I140P200I0H0I6524
27;1H70000101;33;33;3;020I150O0H0H0H0H0I0H0I121I251O1H1I1H1I1J1H1I0--0I150O200I0H0I6524;020I150O0H0H0H0H0I0H0I121I251O1H1I1H1I1J1H1I0--0I150O200I0H0I6524;OK;65;65;;;;020I150O0H0H0H0H0I0H0I;121I251O1H1I1H1I1J1H1I;0I150O200I0H0I6524
28;1L30000101;33;33;3;020I190K0H0H0H0H0I0H0I121I291K1H1I1H1I1J1H1I0--0I190K200I0H0I6524;020I190K0H0H0H0H0I0H0I121I291K1H1I1H1I1J1H1I0--0I190K200I0H0I6524;OK;65;65;;;;020I190K0H0H0H0H0I0H0I;121I291K1H1I1H1I1J1H1I;0I190K200I0H0I6524
29;2M10000101;33;33;3;020J1A0I0H0H0H0H0I0H0I121J2A1I1H1I1H1I1J1H1I0--0J1A0I200I0H0I6524;020J1A0I0H0H0H0H0I0H0I121J2A1I1H1I1H1I1J1H1I0--0J1A0I200I0H0I6524;OK;65;65;;;;020J1A0I0H0H0H0H0I0H0I;121J2A1I1H1I1H1I1J1H1I;0J1A0I200I0H0I6524
30;I700000101;33;33;2;02160O0H0H0H0H0H0I0H0I12261O1H1I1H1I1H1I1H1I0--160O0N0I0H0I660S0;02160O0H0H0H0H0H0I0H0I12261O1H1I1H1I1H1I1H1I0--160O0N0I0H0I660S0;OK;64;64;;;;02160O0H0H0H0H0H0I0H0I;12261O1H1I1H1I1H1I1H1I;160O0N0I0H0I660S0
31;KR9TJ00101;133;33;5;02181F0Q1H170H0H0I0H0I12282F1Q2H271H1I1J1H1I0--181F0Q1H170E0I0H0I630G0;02181F0Q1H170H0H0I0H0I12282F1Q2H271H1I1J1H1I0--181F0Q1H170E0I0H0I630G0;OK;70;70;;;;02181F0Q1H170H0H0I0H0I;12282F1Q2H271H1I1J1H1I;181F0Q1H170E0I0H0I630G0
32;M300000101;33;33;2;021A0K0H0H0H0H0H0I0H0I122A1K1H1I1H1I1H1I1H1I0--1A0K0N0I0H0I660S0;021A0K0H0H0H0H0H0I0H0I122A1K1H1I1H1I1H1I1H1I0--1A0K0N0I0H0I660S0;OK;64;64;;;;021A0K0H0H0H0H0H0I0H0I;122A1K1H1I1H1I1H1I1H1I;1A0K0N0I0H0I660S0
33;N200000101;33;33;2;021B0J0H0H0H0H0H0I0H0I122B1J1H1I1H1I1H1I1H1I0--1B0J0N0I0H0I660S0;021B0J0H0H0H0H0H0I0H0I122B1J1H1I1H1I1H1I1H1I0--1B0J0N0I0H0I660S0;OK;64;64;;;;021B0J0H0H0H0H0H0I0H0I;122B1J1H1I1H1I1H1I1H1I;1B0J0N0I0H0I660S0
34;1G90000101;34;34;3;030I140Q0H0H0H0H0I0H0I141J251R1I1J1I1J1K1I1J0--0I140Q210I0I0H6525;030I140Q0H0H0H0H0I0H0I141J251R1I1J1I1J1K1I1J0--0I140Q210I0I0H6525;OK;65;65;;;;030I140Q0H0H0H0H0I0H0I;141J251R1I1J1I1J1K1I1J;0I140Q210I0I0H6525
35;1I70000101;34;34;3;030I160O0H0H0H0H0I0H0I141J271P1I1J1I1J1K1I1J0--0I160O210I0I0H6525;030I160O0H0H0H0H0I0H0I141J271P1I1J1I1J1K1I1J0--0I160O210I0I0H6525;OK;65;65;;;;030I160O0H0H0H0H0I0H0I;141J271P1I1J1I1J1K1I1J;0I160O210I0I0H6525
36;2L30000101;34;34;3;030J190K0H0H0H0H0I0H0I141K2A1L1I1J1I1J1K1I1J0--0J190K210I0I0H6525;030J190K0H0H0H0H0I0H0I141K2A1L1I1J1I1J1K1I1J0--0J190K210I0I0H6525;OK;65;65;;;;030J190K0H0H0H0H0I0H0I;141K2A1L1I1J1I1J1K1I1J;0J190K210I0I0H6525
37;CHSMJ00101;134;34;5;0310151G1A170H0H0I0H0I1421262H2B281I1J1K1I1J0--10151G1A170F0I0I0H630H0;0310151G1A170H0H0I0H0I1421262H2B281I1J1K1I1J0--10151G1A170F0I0I0H630H0;OK;70;70;;;;0310151G1A170H0H0I0H0I;1421262H2B281I1J1K1I1J;10151G1A170F0I0I0H630H0
38;J700000101;34;34;2;03170O0H0H0H0H0H0I0H0I14281P1I1J1I1J1I1J1I1J0--170O0O0I0I0H660T0;03170O0H0H0H0H0H0I0H0I14281P1I1J1I1J1I1J1I1J0--170O0O0I0I0H660T0;OK;64;64;;;;03170O0H0H0H0H0H0I0H0I;14281P1I1J1I1J1I1J1I1J;170O0O0I0I0H660T0
39;O5QVJ00101;134;34;5;031C0M1E1J170H0H0I0H0I142D1N2F2K281I1J1K1I1J0--1C0M1E1J170F0I0I0H630H0;031C0M1E1J170H0H0I0H0I142D1N2F2K281I1J1K1I1J0--1C0M1E1J170F0I0I0H630H0;OK;70;70;;;;031C0M1E1J170H0H0I0H0I;142D1N2F2K281I1J1K1I1J;1C0M1E1J170F0I0I0H630H0
40;1I80000101;35;35;3;040I160P0H0H0H0H0I0H0I161K281R1J1K1J1K1L1J1K0--0I160P220I0H0I6526;040I160P0H0H0H0H0I0H0I161K281R1J1K1J1K1L1J1K0--0I160P220I0H0I6526;OK;65;65;;;;040I160P0H0H0H0H0I0H0I;161K281R1J1K1J1K1L1J1K;0I160P220I0H0I6526
41;1J70000101;35;35;3;040I170O0H0H0H0H0I0H0I161K291Q1J1K1J1K1L1J1K0--0I170O220I0H0I6526;040I170O0H0H0H0H0I0H0I161K291Q1J1K1J1K1L1J1K0--0I170O220I0H0I6526;OK;65;65;;;;040I170O0H0H0H0H0I0H0I;161K291Q1J1K1J1K1L1J1K;0I170O220I0H0I6526
42;1K60000101;35;35;3;040I180N0H0H0H0H0I0H0I161K2A1P1J1K1J1K1L1J1K0--0I180N220I0H0I6526;040I180N0H0H0H0H0I0H0I161K2A1P1J1K1J1K1L1J1K0--0I180N220I0H0I6526;OK;65;65;;;;040I180N0H0H0H0H0I0H0I;161K2A1P1J1K1J1K1L1J1K;0I180N220I0H0I6526
43;1L50000101;35;35;3;040I190M0H0H0H0H0I0H0I161K2B1O1J1K1J1K1L1J1K0--0I190M220I0H0I6526;040I190M0H0H0H0H0I0H0I161K2B1O1J1K1J1K1L1J1K0--0I190M220I0H0I6526;OK;65;65;;;;040I190M0H0H0H0H0I0H0I;161K2B1O1J1K1J1K1L1J1K;0I190M220I0H0I6526
