SourceRow;Filename;WorkerID;Prefix_ASC;TailRaw;TailLen;PairCount;TrailingChar;FirstZeroPos;SignificantLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;T01_RAW;T02_RAW;T03_RAW;T04_RAW;T05_RAW;T06_RAW;T07_RAW;T08_RAW;T09_RAW;T10_RAW;T11_RAW;T01_NUM;T02_NUM;T03_NUM;T04_NUM;T05_NUM;T06_NUM;T07_NUM;T08_NUM;T09_NUM;T10_NUM;T11_NUM;T01_PLUS31;T02_PLUS31;T03_PLUS31;T04_PLUS31;T05_PLUS31;T06_PLUS31;T07_PLUS31;T08_PLUS31;T09_PLUS31;T10_PLUS31;T11_PLUS31;T01_MATCH_W;T02_MATCH_W;T03_MATCH_W;T04_MATCH_W;T05_MATCH_W;T06_MATCH_W;T07_MATCH_W;T08_MATCH_W;T09_MATCH_W;T10_MATCH_W;T11_MATCH_W;;;SOUHRN;
12;001A0I0H0H0H0H0H0I0H0I0Y281G1F1G1F1G1F1G1F1G0--1A0I0L0I0H0I660Q0;M100000101;31;1A0I0L0I0H0I660Q0;17;8;0;3;2;M;1;0;0;0;0;0;1;0;1;77;49;48;48;48;48;48;49;48;49;46;18;17;17;17;17;17;18;17;18;1A;0I;0L;0I;0H;0I;66;0Q;;;;46;18;21;18;17;18;222;26;;;;77;49;52;49;48;49;253;57;;;;W01;W02,W08,W10;;W02,W08,W10;W03,W04,W05,W06,W07,W09;W02,W08,W10;;;;;;;;;
13;001J170M1G170H0H0I0H0I0Y2H251K2E251F1G1H1F1G0--1J170M1G170C0I0H0I630E0;VJ5SJ00101;31;1J170M1G170C0I0H0I630E0;23;11;0;6;5;V;J;5;S;J;0;0;1;0;1;86;74;53;83;74;48;48;49;48;49;55;43;22;52;43;17;17;18;17;18;1J;17;0M;1G;17;0C;0I;0H;0I;63;0E;55;43;22;52;43;12;18;17;18;219;14;86;74;53;83;74;43;49;48;49;250;45;W01;W02,W05;W03;W04;W02,W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
14;010I120Q0H0H0H0H0I0H0I101H211P1G1H1G1H1I1G1H0--0I120Q1Z0I0I0H6523;1E90000101;32;0I120Q1Z0I0I0H6523;18;9;;4;3;1;E;9;0;0;0;0;1;0;1;49;69;57;48;48;48;48;49;48;49;18;38;26;17;17;17;17;18;17;18;0I;12;0Q;1Z;0I;0I;0H;65;23;;;18;38;26;71;18;18;17;221;75;;;49;69;57;102;49;49;48;252;106;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
15;010I190J0H0H0H0H0I0H0I101H281I1G1H1G1H1I1G1H0--0I190J1Z0I0I0H6523;1L20000101;32;0I190J1Z0I0I0H6523;18;9;;4;3;1;L;2;0;0;0;0;1;0;1;49;76;50;48;48;48;48;49;48;49;18;45;19;17;17;17;17;18;17;18;0I;19;0J;1Z;0I;0I;0H;65;23;;;18;45;19;71;18;18;17;221;75;;;49;76;50;102;49;49;48;252;106;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
16;010J150M0H0H0H0H0I0H0I101I241L1G1H1G1H1I1G1H0--0J150M1Z0I0I0H6523;2H50000101;32;0J150M1Z0I0I0H6523;18;9;;4;3;2;H;5;0;0;0;0;1;0;1;50;72;53;48;48;48;48;49;48;49;19;41;22;17;17;17;17;18;17;18;0J;15;0M;1Z;0I;0I;0H;65;23;;;19;41;22;71;18;18;17;221;75;;;50;72;53;102;49;49;48;252;106;;;W01;W02;W03;;W08,W10;W08,W10;W04,W05,W06,W07,W09;;;;;;;;
17;010K0P110H0H0H0H0I0H0I101J1O201G1H1G1H1I1G1H0--0K0P111Z0I0I0H6523;38D0000101;32;0K0P111Z0I0I0H6523;18;9;;4;3;3;8;D;0;0;0;0;1;0;1;51;56;68;48;48;48;48;49;48;49;20;25;37;17;17;17;17;18;17;18;0K;0P;11;1Z;0I;0I;0H;65;23;;;20;25;37;71;18;18;17;221;75;;;51;56;68;102;49;49;48;252;106;;;W01;W02;W03;;W08,W10;W08,W10;W04,W05,W06,W07,W09;;;;;;;;
18;010K130N0H0H0H0H0I0H0I101J221M1G1H1G1H1I1G1H0--0K130N1Z0I0I0H6523;3F60000101;32;0K130N1Z0I0I0H6523;18;9;;4;3;3;F;6;0;0;0;0;1;0;1;51;70;54;48;48;48;48;49;48;49;20;39;23;17;17;17;17;18;17;18;0K;13;0N;1Z;0I;0I;0H;65;23;;;20;39;23;71;18;18;17;221;75;;;51;70;54;102;49;49;48;252;106;;;W01;W02;W03;;W08,W10;W08,W10;W04,W05,W06,W07,W09;;;;;;;;
19;010L170I0H0H0H0H0I0H0I101K261H1G1H1G1H1I1G1H0--0L170I1Z0I0I0H6523;4J10000101;32;0L170I1Z0I0I0H6523;18;9;;4;3;4;J;1;0;0;0;0;1;0;1;52;74;49;48;48;48;48;49;48;49;21;43;18;17;17;17;17;18;17;18;0L;17;0I;1Z;0I;0I;0H;65;23;;;21;43;18;71;18;18;17;221;75;;;52;74;49;102;49;49;48;252;106;;;W01;W02;W03,W08,W10;;W03,W08,W10;W03,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
20;01130Z1D1E170H0H0I0H0I10221Y2C2D261G1H1I1G1H0--130Z1D1E170D0I0I0H630F0;FBPQJ00101;32;130Z1D1E170D0I0I0H630F0;23;11;0;6;5;F;B;P;Q;J;0;0;1;0;1;70;66;80;81;74;48;48;49;48;49;39;35;49;50;43;17;17;18;17;18;13;0Z;1D;1E;17;0D;0I;0I;0H;63;0F;39;35;49;50;43;13;18;18;17;219;15;70;66;80;81;74;44;49;49;48;250;46;W01;W02;W03;W04;W05;;W08,W10;W08,W10;W06,W07,W09;;;;;;
21;01150O0H0H0H0H0H0I0H0I10241N1G1H1G1H1G1H1G1H0--150O0M0I0I0H660R0;H700000101;32;150O0M0I0I0H660R0;17;8;0;3;2;H;7;0;0;0;0;0;1;0;1;72;55;48;48;48;48;48;49;48;49;41;24;17;17;17;17;17;18;17;18;15;0O;0M;0I;0I;0H;66;0R;;;;41;24;22;18;18;17;222;27;;;;72;55;53;49;49;48;253;58;;;;W01;W02;;W08,W10;W08,W10;W03,W04,W05,W06,W07,W09;;;;;;;;;
