SourceRow;Filename;WorkerID;Prefix_ASC;TailRaw;TailLen;PairCount;TrailingChar;FirstZeroPos;SignificantLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;T01_RAW;T02_RAW;T03_RAW;T04_RAW;T05_RAW;T06_RAW;T07_RAW;T08_RAW;T09_RAW;T10_RAW;T11_RAW;T01_NUM;T02_NUM;T03_NUM;T04_NUM;T05_NUM;T06_NUM;T07_NUM;T08_NUM;T09_NUM;T10_NUM;T11_NUM;T01_PLUS31;T02_PLUS31;T03_PLUS31;T04_PLUS31;T05_PLUS31;T06_PLUS31;T07_PLUS31;T08_PLUS31;T09_PLUS31;T10_PLUS31;T11_PLUS31;T01_MATCH_W;T02_MATCH_W;T03_MATCH_W;T04_MATCH_W;T05_MATCH_W;T06_MATCH_W;T07_MATCH_W;T08_MATCH_W;T09_MATCH_W;T10_MATCH_W;T11_MATCH_W;;;SOUHRN;
131;0A0I1D0O0H0H0H0H0I0H0I1I1Q2L1W1P1Q1P1Q1R1P1Q0--0I1D0O280I0H0I652C;1P70000101;41;0I1D0O280I0H0I652C;18;9;;4;3;1;P;7;0;0;0;0;1;0;1;49;80;55;48;48;48;48;49;48;49;18;49;24;17;17;17;17;18;17;18;0I;1D;0O;28;0I;0H;0I;65;2C;;;18;49;24;80;18;17;18;221;84;;;49;80;55;111;49;48;49;252;115;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
132;0A0I1E0N0H0H0H0H0I0H0I1I1Q2M1V1P1Q1P1Q1R1P1Q0--0I1E0N280I0H0I652C;1Q60000101;41;0I1E0N280I0H0I652C;18;9;;4;3;1;Q;6;0;0;0;0;1;0;1;49;81;54;48;48;48;48;49;48;49;18;50;23;17;17;17;17;18;17;18;0I;1E;0N;28;0I;0H;0I;65;2C;;;18;50;23;80;18;17;18;221;84;;;49;81;54;111;49;48;49;252;115;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
133;0A0I1F0M0H0H0H0H0I0H0I1I1Q2N1U1P1Q1P1Q1R1P1Q0--0I1F0M280I0H0I652C;1R50000101;41;0I1F0M280I0H0I652C;18;9;;4;3;1;R;5;0;0;0;0;1;0;1;49;82;53;48;48;48;48;49;48;49;18;51;22;17;17;17;17;18;17;18;0I;1F;0M;28;0I;0H;0I;65;2C;;;18;51;22;80;18;17;18;221;84;;;49;82;53;111;49;48;49;252;115;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
134;0A0I1I0J0H0H0H0H0I0H0I1I1Q2Q1R1P1Q1P1Q1R1P1Q0--0I1I0J280I0H0I652C;1U20000101;41;0I1I0J280I0H0I652C;18;9;;4;3;1;U;2;0;0;0;0;1;0;1;49;85;50;48;48;48;48;49;48;49;18;54;19;17;17;17;17;18;17;18;0I;1I;0J;28;0I;0H;0I;65;2C;;;18;54;19;80;18;17;18;221;84;;;49;85;50;111;49;48;49;252;115;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
135;0A0I1K0H0H0H0H0H0I0H0I1I1Q2S1P1Q1P1Q1P1Q1P1Q0--0I1K0V0I0H0I66100;1W00000101;41;0I1K0V0I0H0I66100;17;8;0;3;2;1;W;0;0;0;0;0;1;0;1;49;87;48;48;48;48;48;49;48;49;18;56;17;17;17;17;17;18;17;18;0I;1K;0V;0I;0H;0I;66;10;;;;18;56;31;18;17;18;222;36;;;;49;87;62;49;48;49;253;67;;;;W01,W08,W10;W02;;W01,W08,W10;W03,W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;;
136;0A0J0Z110H0H0H0H0I0H0I1I1R27291P1Q1P1Q1R1P1Q0--0J0Z11280I0H0I652C;2BD0000101;41;0J0Z11280I0H0I652C;18;9;;4;3;2;B;D;0;0;0;0;1;0;1;50;66;68;48;48;48;48;49;48;49;19;35;37;17;17;17;17;18;17;18;0J;0Z;11;28;0I;0H;0I;65;2C;;;19;35;37;80;18;17;18;221;84;;;50;66;68;111;49;48;49;252;115;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
137;0A0J1B0P0H0H0H0H0I0H0I1I1R2J1X1P1Q1P1Q1R1P1Q0--0J1B0P280I0H0I652C;2N80000101;41;0J1B0P280I0H0I652C;18;9;;4;3;2;N;8;0;0;0;0;1;0;1;50;78;56;48;48;48;48;49;48;49;19;47;25;17;17;17;17;18;17;18;0J;1B;0P;28;0I;0H;0I;65;2C;;;19;47;25;80;18;17;18;221;84;;;50;78;56;111;49;48;49;252;115;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
138;0A0J1D0N0H0H0H0H0I0H0I1I1R2L1V1P1Q1P1Q1R1P1Q0--0J1D0N280I0H0I652C;2P60000101;41;0J1D0N280I0H0I652C;18;9;;4;3;2;P;6;0;0;0;0;1;0;1;50;80;54;48;48;48;48;49;48;49;19;49;23;17;17;17;17;18;17;18;0J;1D;0N;28;0I;0H;0I;65;2C;;;19;49;23;80;18;17;18;221;84;;;50;80;54;111;49;48;49;252;115;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
139;0A0J1H0J0H0H0H0H0I0H0I1I1R2P1R1P1Q1P1Q1R1P1Q0--0J1H0J280I0H0I652C;2T20000101;41;0J1H0J280I0H0I652C;18;9;;4;3;2;T;2;0;0;0;0;1;0;1;50;84;50;48;48;48;48;49;48;49;19;53;19;17;17;17;17;18;17;18;0J;1H;0J;28;0I;0H;0I;65;2C;;;19;53;19;80;18;17;18;221;84;;;50;84;50;111;49;48;49;252;115;;;W01,W03;W02;W01,W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
140;0A0L1G0I0H0H0H0H0I0H0I1I1T2O1Q1P1Q1P1Q1R1P1Q0--0L1G0I280I0H0I652C;4S10000101;41;0L1G0I280I0H0I652C;18;9;;4;3;4;S;1;0;0;0;0;1;0;1;52;83;49;48;48;48;48;49;48;49;21;52;18;17;17;17;17;18;17;18;0L;1G;0I;28;0I;0H;0I;65;2C;;;21;52;18;80;18;17;18;221;84;;;52;83;49;111;49;48;49;252;115;;;W01;W02;W03,W08,W10;;W03,W08,W10;W04,W05,W06,W07,W09;W03,W08,W10;;;;;;;;
141;0A0N190N0H0H0H0H0I0H0I1I1V2H1V1P1Q1P1Q1R1P1Q0--0N190N280I0H0I652C;6L60000101;41;0N190N280I0H0I652C;18;9;;4;3;6;L;6;0;0;0;0;1;0;1;54;76;54;48;48;48;48;49;48;49;23;45;23;17;17;17;17;18;17;18;0N;19;0N;28;0I;0H;0I;65;2C;;;23;45;23;80;18;17;18;221;84;;;54;76;54;111;49;48;49;252;115;;;W01,W03;W02;W01,W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
142;0A0N1I1C1L170H0H0I0H0I1I1V2Q2K2T2F1P1Q1R1P1Q0--0N1I1C1L170M0I0H0I630O0;6UOXJ00101;41;0N1I1C1L170M0I0H0I630O0;23;11;0;6;5;6;U;O;X;J;0;0;1;0;1;54;85;79;88;74;48;48;49;48;49;23;54;48;57;43;17;17;18;17;18;0N;1I;1C;1L;17;0M;0I;0H;0I;63;0O;23;54;48;57;43;22;18;17;18;219;24;54;85;79;88;74;53;49;48;49;250;55;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
143;0A0Q1I1E1G170H0H0I0H0I1I1Y2Q2M2O2F1P1Q1R1P1Q0--0Q1I1E1G170M0I0H0I630O0;9UQSJ00101;41;0Q1I1E1G170M0I0H0I630O0;23;11;0;6;5;9;U;Q;S;J;0;0;1;0;1;57;85;81;83;74;48;48;49;48;49;26;54;50;52;43;17;17;18;17;18;0Q;1I;1E;1G;17;0M;0I;0H;0I;63;0O;26;54;50;52;43;22;18;17;18;219;24;57;85;81;83;74;53;49;48;49;250;55;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
144;0A161K121A170H0H0I0H0I1I2E2S2A2I2F1P1Q1R1P1Q0--161K121A170M0I0H0I630O0;IWEMJ00101;41;161K121A170M0I0H0I630O0;23;11;0;6;5;I;W;E;M;J;0;0;1;0;1;73;87;69;77;74;48;48;49;48;49;42;56;38;46;43;17;17;18;17;18;16;1K;12;1A;17;0M;0I;0H;0I;63;0O;42;56;38;46;43;22;18;17;18;219;24;73;87;69;77;74;53;49;48;49;250;55;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
145;0A1915121M170H0H0I0H0I1I2H2D2A2U2F1P1Q1R1P1Q0--1915121M170M0I0H0I630O0;LHEYJ00101;41;1915121M170M0I0H0I630O0;23;11;0;6;5;L;H;E;Y;J;0;0;1;0;1;76;72;69;89;74;48;48;49;48;49;45;41;38;58;43;17;17;18;17;18;19;15;12;1M;17;0M;0I;0H;0I;63;0O;45;41;38;58;43;22;18;17;18;219;24;76;72;69;89;74;53;49;48;49;250;55;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
146;0A1C0Z1D1E170H0H0I0H0I1I2K272L2M2F1P1Q1R1P1Q0--1C0Z1D1E170M0I0H0I630O0;OBPQJ00101;41;1C0Z1D1E170M0I0H0I630O0;23;11;0;6;5;O;B;P;Q;J;0;0;1;0;1;79;66;80;81;74;48;48;49;48;49;48;35;49;50;43;17;17;18;17;18;1C;0Z;1D;1E;17;0M;0I;0H;0I;63;0O;48;35;49;50;43;22;18;17;18;219;24;79;66;80;81;74;53;49;48;49;250;55;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
147;0A1H0K1M1F170H0H0I0H0I1I2P1S2U2N2F1P1Q1R1P1Q0--1H0K1M1F170M0I0H0I630O0;T3YRJ00101;41;1H0K1M1F170M0I0H0I630O0;23;11;0;6;5;T;3;Y;R;J;0;0;1;0;1;84;51;89;82;74;48;48;49;48;49;53;20;58;51;43;17;17;18;17;18;1H;0K;1M;1F;17;0M;0I;0H;0I;63;0O;53;20;58;51;43;22;18;17;18;219;24;84;51;89;82;74;53;49;48;49;250;55;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
148;0A1J0J0H0H0H0H0H0I0H0I1I2R1R1P1Q1P1Q1P1Q1P1Q0--1J0J0V0I0H0I66100;V200000101;41;1J0J0V0I0H0I66100;17;8;0;3;2;V;2;0;0;0;0;0;1;0;1;86;50;48;48;48;48;48;49;48;49;55;19;17;17;17;17;17;18;17;18;1J;0J;0V;0I;0H;0I;66;10;;;;55;19;31;18;17;18;222;36;;;;86;50;62;49;48;49;253;67;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
149;0B0I11110H0H0H0H0I0H0I1K1R2A2B1Q1R1Q1R1S1Q1R0--0I1111290I0I0H652D;1DD0000101;42;0I1111290I0I0H652D;18;9;;4;3;1;D;D;0;0;0;0;1;0;1;49;68;68;48;48;48;48;49;48;49;18;37;37;17;17;17;17;18;17;18;0I;11;11;29;0I;0I;0H;65;2D;;;18;37;37;81;18;18;17;221;85;;;49;68;68;112;49;49;48;252;116;;;W01,W08,W10;W02,W03;W02,W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
150;0B0I12100H0H0H0H0I0H0I1K1R2B291Q1R1Q1R1S1Q1R0--0I1210290I0I0H652D;1EC0000101;42;0I1210290I0I0H652D;18;9;;4;3;1;E;C;0;0;0;0;1;0;1;49;69;67;48;48;48;48;49;48;49;18;38;36;17;17;17;17;18;17;18;0I;12;10;29;0I;0I;0H;65;2D;;;18;38;36;81;18;18;17;221;85;;;49;69;67;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
151;0B0I140Y0H0H0H0H0I0H0I1K1R2D271Q1R1Q1R1S1Q1R0--0I140Y290I0I0H652D;1GA0000101;42;0I140Y290I0I0H652D;18;9;;4;3;1;G;A;0;0;0;0;1;0;1;49;71;65;48;48;48;48;49;48;49;18;40;34;17;17;17;17;18;17;18;0I;14;0Y;29;0I;0I;0H;65;2D;;;18;40;34;81;18;18;17;221;85;;;49;71;65;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
152;0B0I1C0Q0H0H0H0H0I0H0I1K1R2L1Z1Q1R1Q1R1S1Q1R0--0I1C0Q290I0I0H652D;1O90000101;42;0I1C0Q290I0I0H652D;18;9;;4;3;1;O;9;0;0;0;0;1;0;1;49;79;57;48;48;48;48;49;48;49;18;48;26;17;17;17;17;18;17;18;0I;1C;0Q;29;0I;0I;0H;65;2D;;;18;48;26;81;18;18;17;221;85;;;49;79;57;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
153;0B0I1D0P0H0H0H0H0I0H0I1K1R2M1Y1Q1R1Q1R1S1Q1R0--0I1D0P290I0I0H652D;1P80000101;42;0I1D0P290I0I0H652D;18;9;;4;3;1;P;8;0;0;0;0;1;0;1;49;80;56;48;48;48;48;49;48;49;18;49;25;17;17;17;17;18;17;18;0I;1D;0P;29;0I;0I;0H;65;2D;;;18;49;25;81;18;18;17;221;85;;;49;80;56;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
154;0B0I1E0O0H0H0H0H0I0H0I1K1R2N1X1Q1R1Q1R1S1Q1R0--0I1E0O290I0I0H652D;1Q70000101;42;0I1E0O290I0I0H652D;18;9;;4;3;1;Q;7;0;0;0;0;1;0;1;49;81;55;48;48;48;48;49;48;49;18;50;24;17;17;17;17;18;17;18;0I;1E;0O;29;0I;0I;0H;65;2D;;;18;50;24;81;18;18;17;221;85;;;49;81;55;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
155;0B0I1F0N0H0H0H0H0I0H0I1K1R2O1W1Q1R1Q1R1S1Q1R0--0I1F0N290I0I0H652D;1R60000101;42;0I1F0N290I0I0H652D;18;9;;4;3;1;R;6;0;0;0;0;1;0;1;49;82;54;48;48;48;48;49;48;49;18;51;23;17;17;17;17;18;17;18;0I;1F;0N;29;0I;0I;0H;65;2D;;;18;51;23;81;18;18;17;221;85;;;49;82;54;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
156;0B0I1G0M0H0H0H0H0I0H0I1K1R2P1V1Q1R1Q1R1S1Q1R0--0I1G0M290I0I0H652D;1S50000101;42;0I1G0M290I0I0H652D;18;9;;4;3;1;S;5;0;0;0;0;1;0;1;49;83;53;48;48;48;48;49;48;49;18;52;22;17;17;17;17;18;17;18;0I;1G;0M;29;0I;0I;0H;65;2D;;;18;52;22;81;18;18;17;221;85;;;49;83;53;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
157;0B0I1I0K0H0H0H0H0I0H0I1K1R2R1T1Q1R1Q1R1S1Q1R0--0I1I0K290I0I0H652D;1U30000101;42;0I1I0K290I0I0H652D;18;9;;4;3;1;U;3;0;0;0;0;1;0;1;49;85;51;48;48;48;48;49;48;49;18;54;20;17;17;17;17;18;17;18;0I;1I;0K;29;0I;0I;0H;65;2D;;;18;54;20;81;18;18;17;221;85;;;49;85;51;112;49;49;48;252;116;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
158;0B0J130Y0H0H0H0H0I0H0I1K1S2C271Q1R1Q1R1S1Q1R0--0J130Y290I0I0H652D;2FA0000101;42;0J130Y290I0I0H652D;18;9;;4;3;2;F;A;0;0;0;0;1;0;1;50;70;65;48;48;48;48;49;48;49;19;39;34;17;17;17;17;18;17;18;0J;13;0Y;29;0I;0I;0H;65;2D;;;19;39;34;81;18;18;17;221;85;;;50;70;65;112;49;49;48;252;116;;;W01;W02;W03;;W08,W10;W08,W10;W04,W05,W06,W07,W09;;;;;;;;
159;0B0J1D0O0H0H0H0H0I0H0I1K1S2M1X1Q1R1Q1R1S1Q1R0--0J1D0O290I0I0H652D;2P70000101;42;0J1D0O290I0I0H652D;18;9;;4;3;2;P;7;0;0;0;0;1;0;1;50;80;55;48;48;48;48;49;48;49;19;49;24;17;17;17;17;18;17;18;0J;1D;0O;29;0I;0I;0H;65;2D;;;19;49;24;81;18;18;17;221;85;;;50;80;55;112;49;49;48;252;116;;;W01;W02;W03;;W08,W10;W08,W10;W04,W05,W06,W07,W09;;;;;;;;
160;0B0J1J0I0H0H0H0H0I0H0I1K1S2S1R1Q1R1Q1R1S1Q1R0--0J1J0I290I0I0H652D;2V10000101;42;0J1J0I290I0I0H652D;18;9;;4;3;2;V;1;0;0;0;0;1;0;1;50;86;49;48;48;48;48;49;48;49;19;55;18;17;17;17;17;18;17;18;0J;1J;0I;29;0I;0I;0H;65;2D;;;19;55;18;81;18;18;17;221;85;;;50;86;49;112;49;49;48;252;116;;;W01;W02;W03,W08,W10;;W03,W08,W10;W03,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
161;0B0M1G0I0H0H0H0H0I0H0I1K1V2P1R1Q1R1Q1R1S1Q1R0--0M1G0I290I0I0H652D;5S10000101;42;0M1G0I290I0I0H652D;18;9;;4;3;5;S;1;0;0;0;0;1;0;1;53;83;49;48;48;48;48;49;48;49;22;52;18;17;17;17;17;18;17;18;0M;1G;0I;29;0I;0I;0H;65;2D;;;22;52;18;81;18;18;17;221;85;;;53;83;49;112;49;49;48;252;116;;;W01;W02;W03,W08,W10;;W03,W08,W10;W03,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
162;0B1I0K1M1F170H0H0I0H0I1K2R1T2V2O2G1Q1R1S1Q1R0--1I0K1M1F170N0I0I0H630P0;U3YRJ00101;42;1I0K1M1F170N0I0I0H630P0;23;11;0;6;5;U;3;Y;R;J;0;0;1;0;1;85;51;89;82;74;48;48;49;48;49;54;20;58;51;43;17;17;18;17;18;1I;0K;1M;1F;17;0N;0I;0I;0H;63;0P;54;20;58;51;43;23;18;18;17;219;25;85;51;89;82;74;54;49;49;48;250;56;W01;W02;W03;W04;W05;;W08,W10;W08,W10;W06,W07,W09;;;;;;
163;0B1I0L0H0H0H0H0H0I0H0I1K2R1U1Q1R1Q1R1Q1R1Q1R0--1I0L0W0I0I0H66110;U400000101;42;1I0L0W0I0I0H66110;17;8;0;3;2;U;4;0;0;0;0;0;1;0;1;85;52;48;48;48;48;48;49;48;49;54;21;17;17;17;17;17;18;17;18;1I;0L;0W;0I;0I;0H;66;11;;;;54;21;32;18;18;17;222;37;;;;85;52;63;49;49;48;253;68;;;;W01;W02;;W08,W10;W08,W10;W03,W04,W05,W06,W07,W09;;;;;;;;;
164;0B1J0Z191C170H0H0I0H0I1K2S282I2L2G1Q1R1S1Q1R0--1J0Z191C170N0I0I0H630P0;VBLOJ00101;42;1J0Z191C170N0I0I0H630P0;23;11;0;6;5;V;B;L;O;J;0;0;1;0;1;86;66;76;79;74;48;48;49;48;49;55;35;45;48;43;17;17;18;17;18;1J;0Z;19;1C;17;0N;0I;0I;0H;63;0P;55;35;45;48;43;23;18;18;17;219;25;86;66;76;79;74;54;49;49;48;250;56;W01;W02;W03;W04;W05;;W08,W10;W08,W10;W06,W07,W09;;;;;;
165;0B1K0J0H0H0H0H0H0I0H0I1K2T1S1Q1R1Q1R1Q1R1Q1R0--1K0J0W0I0I0H66110;W200000101;42;1K0J0W0I0I0H66110;17;8;0;3;2;W;2;0;0;0;0;0;1;0;1;87;50;48;48;48;48;48;49;48;49;56;19;17;17;17;17;17;18;17;18;1K;0J;0W;0I;0I;0H;66;11;;;;56;19;32;18;18;17;222;37;;;;87;50;63;49;49;48;253;68;;;;W01;W02;;W08,W10;W08,W10;W03,W04,W05,W06,W07,W09;;;;;;;;;
166;0C0I150Y0H0H0H0H0I0H0I1M1S2F281R1S1R1S1T1R1S0--0I150Y2A0I0H0I652E;1HA0000101;43;0I150Y2A0I0H0I652E;18;9;;4;3;1;H;A;0;0;0;0;1;0;1;49;72;65;48;48;48;48;49;48;49;18;41;34;17;17;17;17;18;17;18;0I;15;0Y;2A;0I;0H;0I;65;2E;;;18;41;34;82;18;17;18;221;86;;;49;72;65;113;49;48;49;252;117;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
167;0C0I1D0Q0H0H0H0H0I0H0I1M1S2N201R1S1R1S1T1R1S0--0I1D0Q2A0I0H0I652E;1P90000101;43;0I1D0Q2A0I0H0I652E;18;9;;4;3;1;P;9;0;0;0;0;1;0;1;49;80;57;48;48;48;48;49;48;49;18;49;26;17;17;17;17;18;17;18;0I;1D;0Q;2A;0I;0H;0I;65;2E;;;18;49;26;82;18;17;18;221;86;;;49;80;57;113;49;48;49;252;117;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
168;0C0I1H0M0H0H0H0H0I0H0I1M1S2R1W1R1S1R1S1T1R1S0--0I1H0M2A0I0H0I652E;1T50000101;43;0I1H0M2A0I0H0I652E;18;9;;4;3;1;T;5;0;0;0;0;1;0;1;49;84;53;48;48;48;48;49;48;49;18;53;22;17;17;17;17;18;17;18;0I;1H;0M;2A;0I;0H;0I;65;2E;;;18;53;22;82;18;17;18;221;86;;;49;84;53;113;49;48;49;252;117;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
169;0C0I1I0L0H0H0H0H0I0H0I1M1S2S1V1R1S1R1S1T1R1S0--0I1I0L2A0I0H0I652E;1U40000101;43;0I1I0L2A0I0H0I652E;18;9;;4;3;1;U;4;0;0;0;0;1;0;1;49;85;52;48;48;48;48;49;48;49;18;54;21;17;17;17;17;18;17;18;0I;1I;0L;2A;0I;0H;0I;65;2E;;;18;54;21;82;18;17;18;221;86;;;49;85;52;113;49;48;49;252;117;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
170;0C0J1C0Q0H0H0H0H0I0H0I1M1T2M201R1S1R1S1T1R1S0--0J1C0Q2A0I0H0I652E;2O90000101;43;0J1C0Q2A0I0H0I652E;18;9;;4;3;2;O;9;0;0;0;0;1;0;1;50;79;57;48;48;48;48;49;48;49;19;48;26;17;17;17;17;18;17;18;0J;1C;0Q;2A;0I;0H;0I;65;2E;;;19;48;26;82;18;17;18;221;86;;;50;79;57;113;49;48;49;252;117;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
171;0C0J1D0P0H0H0H0H0I0H0I1M1T2N1Z1R1S1R1S1T1R1S0--0J1D0P2A0I0H0I652E;2P80000101;43;0J1D0P2A0I0H0I652E;18;9;;4;3;2;P;8;0;0;0;0;1;0;1;50;80;56;48;48;48;48;49;48;49;19;49;25;17;17;17;17;18;17;18;0J;1D;0P;2A;0I;0H;0I;65;2E;;;19;49;25;82;18;17;18;221;86;;;50;80;56;113;49;48;49;252;117;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
172;0C0J1G0M0H0H0H0H0I0H0I1M1T2Q1W1R1S1R1S1T1R1S0--0J1G0M2A0I0H0I652E;2S50000101;43;0J1G0M2A0I0H0I652E;18;9;;4;3;2;S;5;0;0;0;0;1;0;1;50;83;53;48;48;48;48;49;48;49;19;52;22;17;17;17;17;18;17;18;0J;1G;0M;2A;0I;0H;0I;65;2E;;;19;52;22;82;18;17;18;221;86;;;50;83;53;113;49;48;49;252;117;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
173;0C0K1D0O0H0H0H0H0I0H0I1M1U2N1Y1R1S1R1S1T1R1S0--0K1D0O2A0I0H0I652E;3P70000101;43;0K1D0O2A0I0H0I652E;18;9;;4;3;3;P;7;0;0;0;0;1;0;1;51;80;55;48;48;48;48;49;48;49;20;49;24;17;17;17;17;18;17;18;0K;1D;0O;2A;0I;0H;0I;65;2E;;;20;49;24;82;18;17;18;221;86;;;51;80;55;113;49;48;49;252;117;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;;
174;0C0K1J0I0H0H0H0H0I0H0I1M1U2T1S1R1S1R1S1T1R1S0--0K1J0I2A0I0H0I652E;3V10000101;43;0K1J0I2A0I0H0I652E;18;9;;4;3;3;V;1;0;0;0;0;1;0;1;51;86;49;48;48;48;48;49;48;49;20;55;18;17;17;17;17;18;17;18;0K;1J;0I;2A;0I;0H;0I;65;2E;;;20;55;18;82;18;17;18;221;86;;;51;86;49;113;49;48;49;252;117;;;W01;W02;W03,W08,W10;;W03,W08,W10;W04,W05,W06,W07,W09;W03,W08,W10;;;;;;;;
175;0C121L101H170H0H0I0H0I1M2C2V2A2R2H1R1S1T1R1S0--121L101H170O0I0H0I630Q0;EXCTJ00101;43;121L101H170O0I0H0I630Q0;23;11;0;6;5;E;X;C;T;J;0;0;1;0;1;69;88;67;84;74;48;48;49;48;49;38;57;36;53;43;17;17;18;17;18;12;1L;10;1H;17;0O;0I;0H;0I;63;0Q;38;57;36;53;43;24;18;17;18;219;26;69;88;67;84;74;55;49;48;49;250;57;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
176;0C1J0Y1C1B170H0H0I0H0I1M2T282M2L2H1R1S1T1R1S0--1J0Y1C1B170O0I0H0I630Q0;VAONJ00101;43;1J0Y1C1B170O0I0H0I630Q0;23;11;0;6;5;V;A;O;N;J;0;0;1;0;1;86;65;79;78;74;48;48;49;48;49;55;34;48;47;43;17;17;18;17;18;1J;0Y;1C;1B;17;0O;0I;0H;0I;63;0Q;55;34;48;47;43;24;18;17;18;219;26;86;65;79;78;74;55;49;48;49;250;57;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
177;0C1L0J0H0H0H0H0H0I0H0I1M2V1T1R1S1R1S1R1S1R1S0--1L0J0X0I0H0I66120;X200000101;43;1L0J0X0I0H0I66120;17;8;0;3;2;X;2;0;0;0;0;0;1;0;1;88;50;48;48;48;48;48;49;48;49;57;19;17;17;17;17;17;18;17;18;1L;0J;0X;0I;0H;0I;66;12;;;;57;19;33;18;17;18;222;38;;;;88;50;64;49;48;49;253;69;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
178;0D0I14100H0H0H0H0I0H0I1O1T2F2B1S1T1S1T1U1S1T0--0I14102B0I0I0H652F;1GC0000101;44;0I14102B0I0I0H652F;18;9;;4;3;1;G;C;0;0;0;0;1;0;1;49;71;67;48;48;48;48;49;48;49;18;40;36;17;17;17;17;18;17;18;0I;14;10;2B;0I;0I;0H;65;2F;;;18;40;36;83;18;18;17;221;87;;;49;71;67;114;49;49;48;252;118;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
