SourceRow;WorkerID;Prefix_ASC;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A01_B36;A02_B36;A03_B36;A04_B36;A05_B36;A06_B36;A07_B36;A08_B36;A09_B36;A10_B36;A11_B36;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C01_B36;C02_B36;C03_B36;C04_B36;C05_B36;C06_B36;C07_B36;C08_B36;C09_B36;C10_B36;C11_B36;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;K01_ASC;K02_ASC;K03_ASC;K04_ASC;K05_ASC;K06_ASC;K07_ASC;K08_ASC;K09_ASC;K10_ASC;K11_ASC;PREV01_ASC;PREV02_ASC;PREV03_ASC;PREV04_ASC;PREV05_ASC;PREV06_ASC;PREV07_ASC;PREV08_ASC;PREV09_ASC;PREV10_ASC;PREV11_ASC;CUM01;CUM02;CUM03;CUM04;CUM05;CUM06;CUM07;CUM08;CUM09;CUM10;CUM11
132;1Q60000101;41;1;Q;6;0;0;0;0;1;0;1;1;26;6;0;0;0;0;1;0;1;49;81;54;48;48;48;48;49;48;49;1I;1Q;2M;1V;1P;1Q;1P;1Q;1R;1P;1Q;54;62;94;67;61;62;61;62;63;61;62;1I;1Q;2M;1V;1P;1P;1P;1P;1Q;1P;1Q;54;62;94;67;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;49;81;54;48;48;48;48;49;48;49;;41;49;81;54;48;48;48;48;49;48;41;90;171;225;273;321;369;417;466;514;563
133;1R50000101;41;1;R;5;0;0;0;0;1;0;1;1;27;5;0;0;0;0;1;0;1;49;82;53;48;48;48;48;49;48;49;1I;1Q;2N;1U;1P;1Q;1P;1Q;1R;1P;1Q;54;62;95;66;61;62;61;62;63;61;62;1I;1Q;2N;1U;1P;1P;1P;1P;1Q;1P;1Q;54;62;95;66;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;49;82;53;48;48;48;48;49;48;49;;41;49;82;53;48;48;48;48;49;48;41;90;172;225;273;321;369;417;466;514;563
134;1U20000101;41;1;U;2;0;0;0;0;1;0;1;1;30;2;0;0;0;0;1;0;1;49;85;50;48;48;48;48;49;48;49;1I;1Q;2Q;1R;1P;1Q;1P;1Q;1R;1P;1Q;54;62;98;63;61;62;61;62;63;61;62;1I;1Q;2Q;1R;1P;1P;1P;1P;1Q;1P;1Q;54;62;98;63;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;49;85;50;48;48;48;48;49;48;49;;41;49;85;50;48;48;48;48;49;48;41;90;175;225;273;321;369;417;466;514;563
135;1W00000101;41;1;W;0;0;0;0;0;1;0;1;1;32;0;0;0;0;0;1;0;1;49;87;48;48;48;48;48;49;48;49;1I;1Q;2S;1P;1Q;1P;1Q;1P;1Q;1P;1Q;54;62;100;61;62;61;62;61;62;61;62;1I;1Q;2S;1P;1P;1P;1P;1P;1Q;1P;1Q;54;62;100;61;61;61;61;61;62;61;62;0;0;0;0;1;0;1;0;0;0;0;41;49;87;48;48;48;48;48;49;48;49;;41;49;87;48;48;48;48;48;49;48;41;90;177;225;273;321;369;417;466;514;563
136;2BD0000101;41;2;B;D;0;0;0;0;1;0;1;2;11;13;0;0;0;0;1;0;1;50;66;68;48;48;48;48;49;48;49;1I;1R;27;29;1P;1Q;1P;1Q;1R;1P;1Q;54;63;79;81;61;62;61;62;63;61;62;1I;1R;27;29;1P;1P;1P;1P;1Q;1P;1Q;54;63;79;81;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;50;66;68;48;48;48;48;49;48;49;;41;50;66;68;48;48;48;48;49;48;41;91;157;225;273;321;369;417;466;514;563
137;2N80000101;41;2;N;8;0;0;0;0;1;0;1;2;23;8;0;0;0;0;1;0;1;50;78;56;48;48;48;48;49;48;49;1I;1R;2J;1X;1P;1Q;1P;1Q;1R;1P;1Q;54;63;91;69;61;62;61;62;63;61;62;1I;1R;2J;1X;1P;1P;1P;1P;1Q;1P;1Q;54;63;91;69;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;50;78;56;48;48;48;48;49;48;49;;41;50;78;56;48;48;48;48;49;48;41;91;169;225;273;321;369;417;466;514;563
138;2P60000101;41;2;P;6;0;0;0;0;1;0;1;2;25;6;0;0;0;0;1;0;1;50;80;54;48;48;48;48;49;48;49;1I;1R;2L;1V;1P;1Q;1P;1Q;1R;1P;1Q;54;63;93;67;61;62;61;62;63;61;62;1I;1R;2L;1V;1P;1P;1P;1P;1Q;1P;1Q;54;63;93;67;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;50;80;54;48;48;48;48;49;48;49;;41;50;80;54;48;48;48;48;49;48;41;91;171;225;273;321;369;417;466;514;563
139;2T20000101;41;2;T;2;0;0;0;0;1;0;1;2;29;2;0;0;0;0;1;0;1;50;84;50;48;48;48;48;49;48;49;1I;1R;2P;1R;1P;1Q;1P;1Q;1R;1P;1Q;54;63;97;63;61;62;61;62;63;61;62;1I;1R;2P;1R;1P;1P;1P;1P;1Q;1P;1Q;54;63;97;63;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;50;84;50;48;48;48;48;49;48;49;;41;50;84;50;48;48;48;48;49;48;41;91;175;225;273;321;369;417;466;514;563
140;4S10000101;41;4;S;1;0;0;0;0;1;0;1;4;28;1;0;0;0;0;1;0;1;52;83;49;48;48;48;48;49;48;49;1I;1T;2O;1Q;1P;1Q;1P;1Q;1R;1P;1Q;54;65;96;62;61;62;61;62;63;61;62;1I;1T;2O;1Q;1P;1P;1P;1P;1Q;1P;1Q;54;65;96;62;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;52;83;49;48;48;48;48;49;48;49;;41;52;83;49;48;48;48;48;49;48;41;93;176;225;273;321;369;417;466;514;563
141;6L60000101;41;6;L;6;0;0;0;0;1;0;1;6;21;6;0;0;0;0;1;0;1;54;76;54;48;48;48;48;49;48;49;1I;1V;2H;1V;1P;1Q;1P;1Q;1R;1P;1Q;54;67;89;67;61;62;61;62;63;61;62;1I;1V;2H;1V;1P;1P;1P;1P;1Q;1P;1Q;54;67;89;67;61;61;61;61;62;61;62;0;0;0;0;0;1;0;1;1;0;0;41;54;76;54;48;48;48;48;49;48;49;;41;54;76;54;48;48;48;48;49;48;41;95;171;225;273;321;369;417;466;514;563
142;6UOXJ00101;41;6;U;O;X;J;0;0;1;0;1;6;30;24;33;19;0;0;1;0;1;54;85;79;88;74;48;48;49;48;49;1I;1V;2Q;2K;2T;2F;1P;1Q;1R;1P;1Q;54;67;98;92;101;87;61;62;63;61;62;1I;1V;2Q;2K;2T;2F;1P;1P;1Q;1P;1Q;54;67;98;92;101;87;61;61;62;61;62;0;0;0;0;0;0;0;1;1;0;0;41;54;85;79;88;74;48;48;49;48;49;;41;54;85;79;88;74;48;48;49;48;41;95;180;259;347;421;469;517;566;614;663
143;9UQSJ00101;41;9;U;Q;S;J;0;0;1;0;1;9;30;26;28;19;0;0;1;0;1;57;85;81;83;74;48;48;49;48;49;1I;1Y;2Q;2M;2O;2F;1P;1Q;1R;1P;1Q;54;70;98;94;96;87;61;62;63;61;62;1I;1Y;2Q;2M;2O;2F;1P;1P;1Q;1P;1Q;54;70;98;94;96;87;61;61;62;61;62;0;0;0;0;0;0;0;1;1;0;0;41;57;85;81;83;74;48;48;49;48;49;;41;57;85;81;83;74;48;48;49;48;41;98;183;264;347;421;469;517;566;614;663
144;IWEMJ00101;41;I;W;E;M;J;0;0;1;0;1;18;32;14;22;19;0;0;1;0;1;73;87;69;77;74;48;48;49;48;49;1I;2E;2S;2A;2I;2F;1P;1Q;1R;1P;1Q;54;86;100;82;90;87;61;62;63;61;62;1I;2E;2S;2A;2I;2F;1P;1P;1Q;1P;1Q;54;86;100;82;90;87;61;61;62;61;62;0;0;0;0;0;0;0;1;1;0;0;41;73;87;69;77;74;48;48;49;48;49;;41;73;87;69;77;74;48;48;49;48;41;114;201;270;347;421;469;517;566;614;663
145;LHEYJ00101;41;L;H;E;Y;J;0;0;1;0;1;21;17;14;34;19;0;0;1;0;1;76;72;69;89;74;48;48;49;48;49;1I;2H;2D;2A;2U;2F;1P;1Q;1R;1P;1Q;54;89;85;82;102;87;61;62;63;61;62;1I;2H;2D;2A;2U;2F;1P;1P;1Q;1P;1Q;54;89;85;82;102;87;61;61;62;61;62;0;0;0;0;0;0;0;1;1;0;0;41;76;72;69;89;74;48;48;49;48;49;;41;76;72;69;89;74;48;48;49;48;41;117;189;258;347;421;469;517;566;614;663
146;OBPQJ00101;41;O;B;P;Q;J;0;0;1;0;1;24;11;25;26;19;0;0;1;0;1;79;66;80;81;74;48;48;49;48;49;1I;2K;27;2L;2M;2F;1P;1Q;1R;1P;1Q;54;92;79;93;94;87;61;62;63;61;62;1I;2K;27;2L;2M;2F;1P;1P;1Q;1P;1Q;54;92;79;93;94;87;61;61;62;61;62;0;0;0;0;0;0;0;1;1;0;0;41;79;66;80;81;74;48;48;49;48;49;;41;79;66;80;81;74;48;48;49;48;41;120;186;266;347;421;469;517;566;614;663
147;T3YRJ00101;41;T;3;Y;R;J;0;0;1;0;1;29;3;34;27;19;0;0;1;0;1;84;51;89;82;74;48;48;49;48;49;1I;2P;1S;2U;2N;2F;1P;1Q;1R;1P;1Q;54;97;64;102;95;87;61;62;63;61;62;1I;2P;1S;2U;2N;2F;1P;1P;1Q;1P;1Q;54;97;64;102;95;87;61;61;62;61;62;0;0;0;0;0;0;0;1;1;0;0;41;84;51;89;82;74;48;48;49;48;49;;41;84;51;89;82;74;48;48;49;48;41;125;176;265;347;421;469;517;566;614;663
148;V200000101;41;V;2;0;0;0;0;0;1;0;1;31;2;0;0;0;0;0;1;0;1;86;50;48;48;48;48;48;49;48;49;1I;2R;1R;1P;1Q;1P;1Q;1P;1Q;1P;1Q;54;99;63;61;62;61;62;61;62;61;62;1I;2R;1R;1P;1P;1P;1P;1P;1Q;1P;1Q;54;99;63;61;61;61;61;61;62;61;62;0;0;0;0;1;0;1;0;0;0;0;41;86;50;48;48;48;48;48;49;48;49;;41;86;50;48;48;48;48;48;49;48;41;127;177;225;273;321;369;417;466;514;563
149;1DD0000101;42;1;D;D;0;0;0;0;1;0;1;1;13;13;0;0;0;0;1;0;1;49;68;68;48;48;48;48;49;48;49;1K;1R;2A;2B;1Q;1R;1Q;1R;1S;1Q;1R;56;63;82;83;62;63;62;63;64;62;63;1K;1R;2A;2A;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;82;82;62;62;62;62;63;62;63;0;0;0;1;0;1;0;1;1;0;0;42;49;68;68;48;48;48;48;49;48;49;;42;49;68;68;48;48;48;48;49;48;42;91;159;227;275;323;371;419;468;516;565
150;1EC0000101;42;1;E;C;0;0;0;0;1;0;1;1;14;12;0;0;0;0;1;0;1;49;69;67;48;48;48;48;49;48;49;1K;1R;2B;29;1Q;1R;1Q;1R;1S;1Q;1R;56;63;83;81;62;63;62;63;64;62;63;1K;1R;2B;29;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;83;81;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;69;67;48;48;48;48;49;48;49;;42;49;69;67;48;48;48;48;49;48;42;91;160;227;275;323;371;419;468;516;565
151;1GA0000101;42;1;G;A;0;0;0;0;1;0;1;1;16;10;0;0;0;0;1;0;1;49;71;65;48;48;48;48;49;48;49;1K;1R;2D;27;1Q;1R;1Q;1R;1S;1Q;1R;56;63;85;79;62;63;62;63;64;62;63;1K;1R;2D;27;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;85;79;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;71;65;48;48;48;48;49;48;49;;42;49;71;65;48;48;48;48;49;48;42;91;162;227;275;323;371;419;468;516;565
152;1O90000101;42;1;O;9;0;0;0;0;1;0;1;1;24;9;0;0;0;0;1;0;1;49;79;57;48;48;48;48;49;48;49;1K;1R;2L;1Z;1Q;1R;1Q;1R;1S;1Q;1R;56;63;93;71;62;63;62;63;64;62;63;1K;1R;2L;1Z;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;93;71;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;79;57;48;48;48;48;49;48;49;;42;49;79;57;48;48;48;48;49;48;42;91;170;227;275;323;371;419;468;516;565
153;1P80000101;42;1;P;8;0;0;0;0;1;0;1;1;25;8;0;0;0;0;1;0;1;49;80;56;48;48;48;48;49;48;49;1K;1R;2M;1Y;1Q;1R;1Q;1R;1S;1Q;1R;56;63;94;70;62;63;62;63;64;62;63;1K;1R;2M;1Y;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;94;70;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;80;56;48;48;48;48;49;48;49;;42;49;80;56;48;48;48;48;49;48;42;91;171;227;275;323;371;419;468;516;565
154;1Q70000101;42;1;Q;7;0;0;0;0;1;0;1;1;26;7;0;0;0;0;1;0;1;49;81;55;48;48;48;48;49;48;49;1K;1R;2N;1X;1Q;1R;1Q;1R;1S;1Q;1R;56;63;95;69;62;63;62;63;64;62;63;1K;1R;2N;1X;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;95;69;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;81;55;48;48;48;48;49;48;49;;42;49;81;55;48;48;48;48;49;48;42;91;172;227;275;323;371;419;468;516;565
155;1R60000101;42;1;R;6;0;0;0;0;1;0;1;1;27;6;0;0;0;0;1;0;1;49;82;54;48;48;48;48;49;48;49;1K;1R;2O;1W;1Q;1R;1Q;1R;1S;1Q;1R;56;63;96;68;62;63;62;63;64;62;63;1K;1R;2O;1W;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;96;68;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;82;54;48;48;48;48;49;48;49;;42;49;82;54;48;48;48;48;49;48;42;91;173;227;275;323;371;419;468;516;565
156;1S50000101;42;1;S;5;0;0;0;0;1;0;1;1;28;5;0;0;0;0;1;0;1;49;83;53;48;48;48;48;49;48;49;1K;1R;2P;1V;1Q;1R;1Q;1R;1S;1Q;1R;56;63;97;67;62;63;62;63;64;62;63;1K;1R;2P;1V;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;97;67;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;83;53;48;48;48;48;49;48;49;;42;49;83;53;48;48;48;48;49;48;42;91;174;227;275;323;371;419;468;516;565
157;1U30000101;42;1;U;3;0;0;0;0;1;0;1;1;30;3;0;0;0;0;1;0;1;49;85;51;48;48;48;48;49;48;49;1K;1R;2R;1T;1Q;1R;1Q;1R;1S;1Q;1R;56;63;99;65;62;63;62;63;64;62;63;1K;1R;2R;1T;1Q;1Q;1Q;1Q;1R;1Q;1R;56;63;99;65;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;49;85;51;48;48;48;48;49;48;49;;42;49;85;51;48;48;48;48;49;48;42;91;176;227;275;323;371;419;468;516;565
158;2FA0000101;42;2;F;A;0;0;0;0;1;0;1;2;15;10;0;0;0;0;1;0;1;50;70;65;48;48;48;48;49;48;49;1K;1S;2C;27;1Q;1R;1Q;1R;1S;1Q;1R;56;64;84;79;62;63;62;63;64;62;63;1K;1S;2C;27;1Q;1Q;1Q;1Q;1R;1Q;1R;56;64;84;79;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;50;70;65;48;48;48;48;49;48;49;;42;50;70;65;48;48;48;48;49;48;42;92;162;227;275;323;371;419;468;516;565
159;2P70000101;42;2;P;7;0;0;0;0;1;0;1;2;25;7;0;0;0;0;1;0;1;50;80;55;48;48;48;48;49;48;49;1K;1S;2M;1X;1Q;1R;1Q;1R;1S;1Q;1R;56;64;94;69;62;63;62;63;64;62;63;1K;1S;2M;1X;1Q;1Q;1Q;1Q;1R;1Q;1R;56;64;94;69;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;50;80;55;48;48;48;48;49;48;49;;42;50;80;55;48;48;48;48;49;48;42;92;172;227;275;323;371;419;468;516;565
160;2V10000101;42;2;V;1;0;0;0;0;1;0;1;2;31;1;0;0;0;0;1;0;1;50;86;49;48;48;48;48;49;48;49;1K;1S;2S;1R;1Q;1R;1Q;1R;1S;1Q;1R;56;64;100;63;62;63;62;63;64;62;63;1K;1S;2S;1R;1Q;1Q;1Q;1Q;1R;1Q;1R;56;64;100;63;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;50;86;49;48;48;48;48;49;48;49;;42;50;86;49;48;48;48;48;49;48;42;92;178;227;275;323;371;419;468;516;565
161;5S10000101;42;5;S;1;0;0;0;0;1;0;1;5;28;1;0;0;0;0;1;0;1;53;83;49;48;48;48;48;49;48;49;1K;1V;2P;1R;1Q;1R;1Q;1R;1S;1Q;1R;56;67;97;63;62;63;62;63;64;62;63;1K;1V;2P;1R;1Q;1Q;1Q;1Q;1R;1Q;1R;56;67;97;63;62;62;62;62;63;62;63;0;0;0;0;0;1;0;1;1;0;0;42;53;83;49;48;48;48;48;49;48;49;;42;53;83;49;48;48;48;48;49;48;42;95;178;227;275;323;371;419;468;516;565
162;U3YRJ00101;42;U;3;Y;R;J;0;0;1;0;1;30;3;34;27;19;0;0;1;0;1;85;51;89;82;74;48;48;49;48;49;1K;2R;1T;2V;2O;2G;1Q;1R;1S;1Q;1R;56;99;65;103;96;88;62;63;64;62;63;1K;2R;1T;2V;2O;2G;1Q;1Q;1R;1Q;1R;56;99;65;103;96;88;62;62;63;62;63;0;0;0;0;0;0;0;1;1;0;0;42;85;51;89;82;74;48;48;49;48;49;;42;85;51;89;82;74;48;48;49;48;42;127;178;267;349;423;471;519;568;616;665
163;U400000101;42;U;4;0;0;0;0;0;1;0;1;30;4;0;0;0;0;0;1;0;1;85;52;48;48;48;48;48;49;48;49;1K;2R;1U;1Q;1R;1Q;1R;1Q;1R;1Q;1R;56;99;66;62;63;62;63;62;63;62;63;1K;2R;1U;1Q;1Q;1Q;1Q;1Q;1R;1Q;1R;56;99;66;62;62;62;62;62;63;62;63;0;0;0;0;1;0;1;0;0;0;0;42;85;52;48;48;48;48;48;49;48;49;;42;85;52;48;48;48;48;48;49;48;42;127;179;227;275;323;371;419;468;516;565
164;VBLOJ00101;42;V;B;L;O;J;0;0;1;0;1;31;11;21;24;19;0;0;1;0;1;86;66;76;79;74;48;48;49;48;49;1K;2S;28;2I;2L;2G;1Q;1R;1S;1Q;1R;56;100;80;90;93;88;62;63;64;62;63;1K;2S;28;2I;2L;2G;1Q;1Q;1R;1Q;1R;56;100;80;90;93;88;62;62;63;62;63;0;0;0;0;0;0;0;1;1;0;0;42;86;66;76;79;74;48;48;49;48;49;;42;86;66;76;79;74;48;48;49;48;42;128;194;270;349;423;471;519;568;616;665
165;W200000101;42;W;2;0;0;0;0;0;1;0;1;32;2;0;0;0;0;0;1;0;1;87;50;48;48;48;48;48;49;48;49;1K;2T;1S;1Q;1R;1Q;1R;1Q;1R;1Q;1R;56;101;64;62;63;62;63;62;63;62;63;1K;2T;1S;1Q;1Q;1Q;1Q;1Q;1R;1Q;1R;56;101;64;62;62;62;62;62;63;62;63;0;0;0;0;1;0;1;0;0;0;0;42;87;50;48;48;48;48;48;49;48;49;;42;87;50;48;48;48;48;48;49;48;42;129;179;227;275;323;371;419;468;516;565
166;1HA0000101;43;1;H;A;0;0;0;0;1;0;1;1;17;10;0;0;0;0;1;0;1;49;72;65;48;48;48;48;49;48;49;1M;1S;2F;28;1R;1S;1R;1S;1T;1R;1S;58;64;87;80;63;64;63;64;65;63;64;1M;1S;2F;28;1R;1R;1R;1R;1S;1R;1S;58;64;87;80;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;49;72;65;48;48;48;48;49;48;49;;43;49;72;65;48;48;48;48;49;48;43;92;164;229;277;325;373;421;470;518;567
167;1P90000101;43;1;P;9;0;0;0;0;1;0;1;1;25;9;0;0;0;0;1;0;1;49;80;57;48;48;48;48;49;48;49;1M;1S;2N;20;1R;1S;1R;1S;1T;1R;1S;58;64;95;72;63;64;63;64;65;63;64;1M;1S;2N;20;1R;1R;1R;1R;1S;1R;1S;58;64;95;72;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;49;80;57;48;48;48;48;49;48;49;;43;49;80;57;48;48;48;48;49;48;43;92;172;229;277;325;373;421;470;518;567
168;1T50000101;43;1;T;5;0;0;0;0;1;0;1;1;29;5;0;0;0;0;1;0;1;49;84;53;48;48;48;48;49;48;49;1M;1S;2R;1W;1R;1S;1R;1S;1T;1R;1S;58;64;99;68;63;64;63;64;65;63;64;1M;1S;2R;1W;1R;1R;1R;1R;1S;1R;1S;58;64;99;68;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;49;84;53;48;48;48;48;49;48;49;;43;49;84;53;48;48;48;48;49;48;43;92;176;229;277;325;373;421;470;518;567
169;1U40000101;43;1;U;4;0;0;0;0;1;0;1;1;30;4;0;0;0;0;1;0;1;49;85;52;48;48;48;48;49;48;49;1M;1S;2S;1V;1R;1S;1R;1S;1T;1R;1S;58;64;100;67;63;64;63;64;65;63;64;1M;1S;2S;1V;1R;1R;1R;1R;1S;1R;1S;58;64;100;67;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;49;85;52;48;48;48;48;49;48;49;;43;49;85;52;48;48;48;48;49;48;43;92;177;229;277;325;373;421;470;518;567
170;2O90000101;43;2;O;9;0;0;0;0;1;0;1;2;24;9;0;0;0;0;1;0;1;50;79;57;48;48;48;48;49;48;49;1M;1T;2M;20;1R;1S;1R;1S;1T;1R;1S;58;65;94;72;63;64;63;64;65;63;64;1M;1T;2M;20;1R;1R;1R;1R;1S;1R;1S;58;65;94;72;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;50;79;57;48;48;48;48;49;48;49;;43;50;79;57;48;48;48;48;49;48;43;93;172;229;277;325;373;421;470;518;567
171;2P80000101;43;2;P;8;0;0;0;0;1;0;1;2;25;8;0;0;0;0;1;0;1;50;80;56;48;48;48;48;49;48;49;1M;1T;2N;1Z;1R;1S;1R;1S;1T;1R;1S;58;65;95;71;63;64;63;64;65;63;64;1M;1T;2N;1Z;1R;1R;1R;1R;1S;1R;1S;58;65;95;71;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;50;80;56;48;48;48;48;49;48;49;;43;50;80;56;48;48;48;48;49;48;43;93;173;229;277;325;373;421;470;518;567
172;2S50000101;43;2;S;5;0;0;0;0;1;0;1;2;28;5;0;0;0;0;1;0;1;50;83;53;48;48;48;48;49;48;49;1M;1T;2Q;1W;1R;1S;1R;1S;1T;1R;1S;58;65;98;68;63;64;63;64;65;63;64;1M;1T;2Q;1W;1R;1R;1R;1R;1S;1R;1S;58;65;98;68;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;50;83;53;48;48;48;48;49;48;49;;43;50;83;53;48;48;48;48;49;48;43;93;176;229;277;325;373;421;470;518;567
173;3P70000101;43;3;P;7;0;0;0;0;1;0;1;3;25;7;0;0;0;0;1;0;1;51;80;55;48;48;48;48;49;48;49;1M;1U;2N;1Y;1R;1S;1R;1S;1T;1R;1S;58;66;95;70;63;64;63;64;65;63;64;1M;1U;2N;1Y;1R;1R;1R;1R;1S;1R;1S;58;66;95;70;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;51;80;55;48;48;48;48;49;48;49;;43;51;80;55;48;48;48;48;49;48;43;94;174;229;277;325;373;421;470;518;567
174;3V10000101;43;3;V;1;0;0;0;0;1;0;1;3;31;1;0;0;0;0;1;0;1;51;86;49;48;48;48;48;49;48;49;1M;1U;2T;1S;1R;1S;1R;1S;1T;1R;1S;58;66;101;64;63;64;63;64;65;63;64;1M;1U;2T;1S;1R;1R;1R;1R;1S;1R;1S;58;66;101;64;63;63;63;63;64;63;64;0;0;0;0;0;1;0;1;1;0;0;43;51;86;49;48;48;48;48;49;48;49;;43;51;86;49;48;48;48;48;49;48;43;94;180;229;277;325;373;421;470;518;567
175;EXCTJ00101;43;E;X;C;T;J;0;0;1;0;1;14;33;12;29;19;0;0;1;0;1;69;88;67;84;74;48;48;49;48;49;1M;2C;2V;2A;2R;2H;1R;1S;1T;1R;1S;58;84;103;82;99;89;63;64;65;63;64;1M;2C;2V;2A;2R;2H;1R;1R;1S;1R;1S;58;84;103;82;99;89;63;63;64;63;64;0;0;0;0;0;0;0;1;1;0;0;43;69;88;67;84;74;48;48;49;48;49;;43;69;88;67;84;74;48;48;49;48;43;112;200;267;351;425;473;521;570;618;667
176;VAONJ00101;43;V;A;O;N;J;0;0;1;0;1;31;10;24;23;19;0;0;1;0;1;86;65;79;78;74;48;48;49;48;49;1M;2T;28;2M;2L;2H;1R;1S;1T;1R;1S;58;101;80;94;93;89;63;64;65;63;64;1M;2T;28;2M;2L;2H;1R;1R;1S;1R;1S;58;101;80;94;93;89;63;63;64;63;64;0;0;0;0;0;0;0;1;1;0;0;43;86;65;79;78;74;48;48;49;48;49;;43;86;65;79;78;74;48;48;49;48;43;129;194;273;351;425;473;521;570;618;667
177;X200000101;43;X;2;0;0;0;0;0;1;0;1;33;2;0;0;0;0;0;1;0;1;88;50;48;48;48;48;48;49;48;49;1M;2V;1T;1R;1S;1R;1S;1R;1S;1R;1S;58;103;65;63;64;63;64;63;64;63;64;1M;2V;1T;1R;1R;1R;1R;1R;1S;1R;1S;58;103;65;63;63;63;63;63;64;63;64;0;0;0;0;1;0;1;0;0;0;0;43;88;50;48;48;48;48;48;49;48;49;;43;88;50;48;48;48;48;48;49;48;43;131;181;229;277;325;373;421;470;518;567
178;1GC0000101;44;1;G;C;0;0;0;0;1;0;1;1;16;12;0;0;0;0;1;0;1;49;71;67;48;48;48;48;49;48;49;1O;1T;2F;2B;1S;1T;1S;1T;1U;1S;1T;60;65;87;83;64;65;64;65;66;64;65;1O;1T;2F;2B;1S;1S;1S;1S;1T;1S;1T;60;65;87;83;64;64;64;64;65;64;65;0;0;0;0;0;1;0;1;1;0;0;44;49;71;67;48;48;48;48;49;48;49;;44;49;71;67;48;48;48;48;49;48;44;93;164;231;279;327;375;423;472;520;569
179;1Y10000101;44;1;Y;1;0;0;0;0;1;0;1;1;34;1;0;0;0;0;1;0;1;49;89;49;48;48;48;48;49;48;49;1O;1T;2X;1T;1S;1T;1S;1T;1U;1S;1T;60;65;105;65;64;65;64;65;66;64;65;1O;1T;2X;1T;1S;1S;1S;1S;1T;1S;1T;60;65;105;65;64;64;64;64;65;64;65;0;0;0;0;0;1;0;1;1;0;0;44;49;89;49;48;48;48;48;49;48;49;;44;49;89;49;48;48;48;48;49;48;44;93;182;231;279;327;375;423;472;520;569
180;2P90000101;44;2;P;9;0;0;0;0;1;0;1;2;25;9;0;0;0;0;1;0;1;50;80;57;48;48;48;48;49;48;49;1O;1U;2O;21;1S;1T;1S;1T;1U;1S;1T;60;66;96;73;64;65;64;65;66;64;65;1O;1U;2O;21;1S;1S;1S;1S;1T;1S;1T;60;66;96;73;64;64;64;64;65;64;65;0;0;0;0;0;1;0;1;1;0;0;44;50;80;57;48;48;48;48;49;48;49;;44;50;80;57;48;48;48;48;49;48;44;94;174;231;279;327;375;423;472;520;569
