SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;Mode;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;;SOUHRN V2;;;
34;1G90000101;34;34;3;73;0I0I0H;221;77;;NORMAL;0I140Q210I0I0H6525;0I140Q210I0I0H6525;OK;;;;18;18;;;;;
35;1I70000101;34;34;3;73;0I0I0H;221;77;;NORMAL;0I160O210I0I0H6525;0I160O210I0I0H6525;OK;;;;18;18;;;;;
36;2L30000101;34;34;3;73;0I0I0H;221;77;;NORMAL;0J190K210I0I0H6525;0J190K210I0I0H6525;OK;;;;18;18;;;;;
37;CHSMJ00101;134;34;5;15;0I0I0H;219;17;0;NORMAL;10151G1A170F0I0I0H630H0;10151G1A170F0I0I0H630H0;OK;;;;23;23;;;;;
38;J700000101;34;34;2;24;0I0I0H;222;29;0;NORMAL;170O0O0I0I0H660T0;170O0O0I0I0H660T0;OK;;;;17;17;;;;;
39;O5QVJ00101;134;34;5;15;0I0I0H;219;17;0;NORMAL;1C0M1E1J170F0I0I0H630H0;1C0M1E1J170F0I0I0H630H0;OK;;;;23;23;;;;;
40;1I80000101;35;35;3;74;0I0H0I;221;78;;NORMAL;0I160P220I0H0I6526;0I160P220I0H0I6526;OK;;;;18;18;;;;;
41;1J70000101;35;35;3;74;0I0H0I;221;78;;NORMAL;0I170O220I0H0I6526;0I170O220I0H0I6526;OK;;;;18;18;;;;;
42;1K60000101;35;35;3;74;0I0H0I;221;78;;NORMAL;0I180N220I0H0I6526;0I180N220I0H0I6526;OK;;;;18;18;;;;;
43;1L50000101;35;35;3;74;0I0H0I;221;78;;NORMAL;0I190M220I0H0I6526;0I190M220I0H0I6526;OK;;;;18;18;;;;;
44;1M40000101;35;35;3;74;0I0H0I;221;78;;NORMAL;0I1A0L220I0H0I6526;0I1A0L220I0H0I6526;OK;;;;18;18;;;;;
45;3ZSLJ00101;135;35;5;16;0I0H0I;219;18;0;NORMAL;0K1N1G19170G0I0H0I630I0;0K1N1G19170G0I0H0I630I0;OK;;;;23;23;;;;;
46;5LSXJ00101;135;35;5;16;0I0H0I;219;18;0;NORMAL;0M191G1L170G0I0H0I630I0;0M191G1L170G0I0H0I630I0;OK;;;;23;23;;;;;
47;S5QSJ00101;135;35;5;16;0I0H0I;219;18;0;NORMAL;1G0M1E1G170G0I0H0I630I0;1G0M1E1G170G0I0H0I630I0;OK;;;;23;23;;;;;
48;W6KTJ00101;135;35;5;16;0I0H0I;219;18;0;NORMAL;1K0N181H170G0I0H0I630I0;1K0N181H170G0I0H0I630I0;OK;;;;23;23;;;;;
49;YBAPJ00101;135;35;5;16;0I0H0I;219;18;0;NORMAL;1M0Z0Y1D170G0I0H0I630I0;1M0Z0Y1D170G0I0H0I630I0;OK;;;;23;23;;;;;
50;1AA0000101;36;36;3;75;0I0I0H;221;79;;NORMAL;0I0Y0Y230I0I0H6527;0I0Y0Y230I0I0H6527;OK;;;;18;18;;;;;
51;1I90000101;36;36;3;75;0I0I0H;221;79;;NORMAL;0I160Q230I0I0H6527;0I160Q230I0I0H6527;OK;;;;18;18;;;;;
52;1K70000101;36;36;3;75;0I0I0H;221;79;;NORMAL;0I180O230I0I0H6527;0I180O230I0I0H6527;OK;;;;18;18;;;;;
53;1P20000101;36;36;3;75;0I0I0H;221;79;;NORMAL;0I1D0J230I0I0H6527;0I1D0J230I0I0H6527;OK;;;;18;18;;;;;
54;2I80000101;36;36;3;75;0I0I0H;221;79;;NORMAL;0J160P230I0I0H6527;0J160P230I0I0H6527;OK;;;;18;18;;;;;
55;GUDMJ00101;136;36;5;17;0I0I0H;219;19;0;NORMAL;141I111A170H0I0I0H630J0;141I111A170H0I0I0H630J0;OK;;;;23;23;;;;;
56;IFMQJ00101;136;36;5;17;0I0I0H;219;19;0;NORMAL;16131A1E170H0I0I0H630J0;16131A1E170H0I0I0H630J0;OK;;;;23;23;;;;;
57;J900000101;36;36;2;26;0I0I0H;222;31;0;NORMAL;170Q0Q0I0I0H660V0;170Q0Q0I0I0H660V0;OK;;;;17;17;;;;;
58;K800000101;36;36;2;26;0I0I0H;222;31;0;NORMAL;180P0Q0I0I0H660V0;180P0Q0I0I0H660V0;OK;;;;17;17;;;;;
59;KGLOJ00101;136;36;5;17;0I0I0H;219;19;0;NORMAL;1814191C170H0I0I0H630J0;1814191C170H0I0I0H630J0;OK;;;;23;23;;;;;
60;L610000101;36;36;3;75;0I0I0H;221;79;;NORMAL;190N0I230I0I0H6527;190N0I230I0I0H6527;OK;;;;18;18;;;;;
61;L700000101;36;36;2;26;0I0I0H;222;31;0;NORMAL;190O0Q0I0I0H660V0;190O0Q0I0I0H660V0;OK;;;;17;17;;;;;
62;SI8YJ00101;136;36;5;17;0I0I0H;219;19;0;NORMAL;1G160P1M170H0I0I0H630J0;1G160P1M170H0I0I0H630J0;OK;;;;23;23;;;;;
63;1AB0000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0I0Y0Z240I0H0I6528;0I0Y0Z240I0H0I6528;OK;;;;18;18;;;;;
64;1BA0000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0I0Z0Y240I0H0I6528;0I0Z0Y240I0H0I6528;OK;;;;18;18;;;;;
65;1J90000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0I170Q240I0H0I6528;0I170Q240I0H0I6528;OK;;;;18;18;;;;;
66;1K80000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0I180P240I0H0I6528;0I180P240I0H0I6528;OK;;;;18;18;;;;;
67;1O40000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0I1C0L240I0H0I6528;0I1C0L240I0H0I6528;OK;;;;18;18;;;;;
68;2I90000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0J160Q240I0H0I6528;0J160Q240I0H0I6528;OK;;;;18;18;;;;;
