SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;ActualPairs;CalcPairs;;SOUHRN V1;;;
2;19D0000101;31;31;3;70;0I0H0I;221;74;;0I0Q111Y0I0H0I6522;0I0Q111Y0I0H0I6522;OK;;;;18;18;9;9;;;;;
3;1D90000101;31;31;3;70;0I0H0I;221;74;;0I110Q1Y0I0H0I6522;0I110Q1Y0I0H0I6522;OK;;;;18;18;9;9;;TOTAL;575;;
4;1F70000101;31;31;3;70;0I0H0I;221;74;;0I130O1Y0I0H0I6522;0I130O1Y0I0H0I6522;OK;;;;18;18;9;9;;OK;546;;
5;1G60000101;31;31;3;70;0I0H0I;221;74;;0I140N1Y0I0H0I6522;0I140N1Y0I0H0I6522;OK;;;;18;18;9;9;;FAIL;29;;
6;2F60000101;31;31;3;70;0I0H0I;221;74;;0J130N1Y0I0H0I6522;0J130N1Y0I0H0I6522;OK;;;;18;18;9;9;;;;;
7;3J10000101;31;31;3;70;0I0H0I;221;74;;0K170I1Y0I0H0I6522;0K170I1Y0I0H0I6522;OK;;;;18;18;9;9;;n;TOTAL;OK;FAIL
8;4D60000101;31;31;3;70;0I0H0I;221;74;;0L110N1Y0I0H0I6522;0L110N1Y0I0H0I6522;OK;;;;18;18;9;9;;1;1;1;0
9;5RROJ00101;131;31;5;12;0I0H0I;219;14;0;0M1F1F1C170C0I0H0I630E0;0M1F1F1C170C0I0H0I630E0;OK;;;;23;23;11;11;;2;80;70;10
10;F800000101;31;31;2;21;0I0H0I;222;26;0;130P0L0I0H0I660Q0;130P0L0I0H0I660Q0;OK;;;;17;17;8;8;;3;260;251;9
11;G700000101;31;31;2;21;0I0H0I;222;26;0;140O0L0I0H0I660Q0;140O0L0I0H0I660Q0;OK;;;;17;17;8;8;;5;234;224;10
12;M100000101;31;31;2;21;0I0H0I;222;26;0;1A0I0L0I0H0I660Q0;1A0I0L0I0H0I660Q0;OK;;;;17;17;8;8;;;;;
13;VJ5SJ00101;131;31;5;12;0I0H0I;219;14;0;1J170M1G170C0I0H0I630E0;1J170M1G170C0I0H0I630E0;OK;;;;23;23;11;11;;;;;
14;1E90000101;32;32;3;71;0I0I0H;221;75;;0I120Q1Z0I0I0H6523;0I120Q1Z0I0I0H6523;OK;;;;18;18;9;9;;;;;
15;1L20000101;32;32;3;71;0I0I0H;221;75;;0I190J1Z0I0I0H6523;0I190J1Z0I0I0H6523;OK;;;;18;18;9;9;;;;;
16;2H50000101;32;32;3;71;0I0I0H;221;75;;0J150M1Z0I0I0H6523;0J150M1Z0I0I0H6523;OK;;;;18;18;9;9;;;;;
17;38D0000101;32;32;3;71;0I0I0H;221;75;;0K0P111Z0I0I0H6523;0K0P111Z0I0I0H6523;OK;;;;18;18;9;9;;;;;
18;3F60000101;32;32;3;71;0I0I0H;221;75;;0K130N1Z0I0I0H6523;0K130N1Z0I0I0H6523;OK;;;;18;18;9;9;;;;;
19;4J10000101;32;32;3;71;0I0I0H;221;75;;0L170I1Z0I0I0H6523;0L170I1Z0I0I0H6523;OK;;;;18;18;9;9;;;;;
20;FBPQJ00101;132;32;5;13;0I0I0H;219;15;0;130Z1D1E170D0I0I0H630F0;130Z1D1E170D0I0I0H630F0;OK;;;;23;23;11;11;;;;;
21;H700000101;32;32;2;22;0I0I0H;222;27;0;150O0M0I0I0H660R0;150O0M0I0I0H660R0;OK;;;;17;17;8;8;;;;;
22;IKJKJ00101;132;32;5;13;0I0I0H;219;15;0;16181718170D0I0I0H630F0;16181718170D0I0I0H630F0;OK;;;;23;23;11;11;;;;;
23;N100000101;32;32;2;22;0I0I0H;222;27;0;1B0I0M0I0I0H660R0;1B0I0M0I0I0H660R0;OK;;;;17;17;8;8;;;;;
24;U5KTJ00101;132;32;5;13;0I0I0H;219;15;0;1I0M181H170D0I0I0H630F0;1I0M181H170D0I0I0H630F0;OK;;;;23;23;11;11;;;;;
25;YO0QJ00101;132;32;5;13;0I0I0H;219;15;0;1M1C0H1E170D0I0I0H630F0;1M1C0H1E170D0I0I0H630F0;OK;;;;23;23;11;11;;;;;
26;1G80000101;33;33;3;72;0I0H0I;221;76;;0I140P200I0H0I6524;0I140P200I0H0I6524;OK;;;;18;18;9;9;;;;;
27;1H70000101;33;33;3;72;0I0H0I;221;76;;0I150O200I0H0I6524;0I150O200I0H0I6524;OK;;;;18;18;9;9;;;;;
28;1L30000101;33;33;3;72;0I0H0I;221;76;;0I190K200I0H0I6524;0I190K200I0H0I6524;OK;;;;18;18;9;9;;;;;
29;2M10000101;33;33;3;72;0I0H0I;221;76;;0J1A0I200I0H0I6524;0J1A0I200I0H0I6524;OK;;;;18;18;9;9;;;;;
30;I700000101;33;33;2;23;0I0H0I;222;28;0;160O0N0I0H0I660S0;160O0N0I0H0I660S0;OK;;;;17;17;8;8;;;;;
31;KR9TJ00101;133;33;5;14;0I0H0I;219;16;0;181F0Q1H170E0I0H0I630G0;181F0Q1H170E0I0H0I630G0;OK;;;;23;23;11;11;;;;;
32;M300000101;33;33;2;23;0I0H0I;222;28;0;1A0K0N0I0H0I660S0;1A0K0N0I0H0I660S0;OK;;;;17;17;8;8;;;;;
33;N200000101;33;33;2;23;0I0H0I;222;28;0;1B0J0N0I0H0I660S0;1B0J0N0I0H0I660S0;OK;;;;17;17;8;8;;;;;
34;1G90000101;34;34;3;73;0I0I0H;221;77;;0I140Q210I0I0H6525;0I140Q210I0I0H6525;OK;;;;18;18;9;9;;;;;
35;1I70000101;34;34;3;73;0I0I0H;221;77;;0I160O210I0I0H6525;0I160O210I0I0H6525;OK;;;;18;18;9;9;;;;;
36;2L30000101;34;34;3;73;0I0I0H;221;77;;0J190K210I0I0H6525;0J190K210I0I0H6525;OK;;;;18;18;9;9;;;;;
37;CHSMJ00101;134;34;5;15;0I0I0H;219;17;0;10151G1A170F0I0I0H630H0;10151G1A170F0I0I0H630H0;OK;;;;23;23;11;11;;;;;
38;J700000101;34;34;2;24;0I0I0H;222;29;0;170O0O0I0I0H660T0;170O0O0I0I0H660T0;OK;;;;17;17;8;8;;;;;
39;O5QVJ00101;134;34;5;15;0I0I0H;219;17;0;1C0M1E1J170F0I0I0H630H0;1C0M1E1J170F0I0I0H630H0;OK;;;;23;23;11;11;;;;;
40;1I80000101;35;35;3;74;0I0H0I;221;78;;0I160P220I0H0I6526;0I160P220I0H0I6526;OK;;;;18;18;9;9;;;;;
41;1J70000101;35;35;3;74;0I0H0I;221;78;;0I170O220I0H0I6526;0I170O220I0H0I6526;OK;;;;18;18;9;9;;;;;
42;1K60000101;35;35;3;74;0I0H0I;221;78;;0I180N220I0H0I6526;0I180N220I0H0I6526;OK;;;;18;18;9;9;;;;;
43;1L50000101;35;35;3;74;0I0H0I;221;78;;0I190M220I0H0I6526;0I190M220I0H0I6526;OK;;;;18;18;9;9;;;;;
44;1M40000101;35;35;3;74;0I0H0I;221;78;;0I1A0L220I0H0I6526;0I1A0L220I0H0I6526;OK;;;;18;18;9;9;;;;;
45;3ZSLJ00101;135;35;5;16;0I0H0I;219;18;0;0K1N1G19170G0I0H0I630I0;0K1N1G19170G0I0H0I630I0;OK;;;;23;23;11;11;;;;;
46;5LSXJ00101;135;35;5;16;0I0H0I;219;18;0;0M191G1L170G0I0H0I630I0;0M191G1L170G0I0H0I630I0;OK;;;;23;23;11;11;;;;;
47;S5QSJ00101;135;35;5;16;0I0H0I;219;18;0;1G0M1E1G170G0I0H0I630I0;1G0M1E1G170G0I0H0I630I0;OK;;;;23;23;11;11;;;;;
48;W6KTJ00101;135;35;5;16;0I0H0I;219;18;0;1K0N181H170G0I0H0I630I0;1K0N181H170G0I0H0I630I0;OK;;;;23;23;11;11;;;;;
49;YBAPJ00101;135;35;5;16;0I0H0I;219;18;0;1M0Z0Y1D170G0I0H0I630I0;1M0Z0Y1D170G0I0H0I630I0;OK;;;;23;23;11;11;;;;;
50;1AA0000101;36;36;3;75;0I0I0H;221;79;;0I0Y0Y230I0I0H6527;0I0Y0Y230I0I0H6527;OK;;;;18;18;9;9;;;;;
51;1I90000101;36;36;3;75;0I0I0H;221;79;;0I160Q230I0I0H6527;0I160Q230I0I0H6527;OK;;;;18;18;9;9;;;;;
52;1K70000101;36;36;3;75;0I0I0H;221;79;;0I180O230I0I0H6527;0I180O230I0I0H6527;OK;;;;18;18;9;9;;;;;
53;1P20000101;36;36;3;75;0I0I0H;221;79;;0I1D0J230I0I0H6527;0I1D0J230I0I0H6527;OK;;;;18;18;9;9;;;;;
